OBJECTID *,name,x,y,z,floor
207,Inner Circle,608027.1629,4822418.23,123.979,1
208,Inner Circle,608033.1577,4822420.293,123.8982,1
209, ,608033.2662,4822391.944,124.6523,1
210, ,608031.3772,4822386.804,124.7074,1
211, ,608031.3772,4822386.804,124.7074,1
212, ,608029.7977,4822382.524,124.6078,1
213, ,608029.7977,4822382.524,124.6078,1
214, ,608028.4568,4822372.614,123.8907,1
215, ,608028.4568,4822372.614,123.8907,1
216, ,608027.5155,4822365.657,123.5798,1
217, ,608027.5155,4822365.657,123.5798,1
218, ,608026.523,4822357.032,123.0321,1
219, ,608026.523,4822357.032,123.0321,1
220, ,608025.1473,4822348.111,122.9486,1
221, ,608025.1473,4822348.111,122.9486,1
222, ,608022.83,4822340.464,122.8295,1
223, ,608022.83,4822340.464,122.8295,1
224, ,608019.6567,4822333.281,122.7214,1
225, ,608019.6567,4822333.281,122.7214,1
226, ,608016.529,4822327.788,122.8355,1
227, ,608016.529,4822327.788,122.8355,1
228, ,608012.2788,4822322.754,122.846,1
229, ,608012.2788,4822322.754,122.846,1
230, ,608004.0245,4822317.109,122.788,1
231, ,607995.7703,4822311.463,122.333,1
232, ,607991.8018,4822308.749,122.0313,1
233, ,608004.0245,4822317.109,122.788,1
234, ,607995.7703,4822311.463,122.333,1
235, ,607991.8018,4822308.749,122.0313,1
236, ,607985.9695,4822306.123,122.0477,1
237, ,607985.9695,4822306.123,122.0477,1
238, ,607980.989,4822305.798,122.2772,1
239, ,607980.989,4822305.798,122.2772,1
240, ,607976.0464,4822306.641,122.5335,1
241, ,607976.0464,4822306.641,122.5335,1
242, ,607970.0982,4822309.711,122.8004,1
243, ,607970.0982,4822309.711,122.8004,1
244, ,607961.6572,4822315.073,123.0721,1
245, ,607961.6572,4822315.073,123.0721,1
246, ,607954.6278,4822319.538,123.699,1
247, ,607954.6278,4822319.538,123.699,1
248, ,607951.3008,4822322.418,123.8535,1
249, ,607951.3008,4822322.418,123.8535,1
250, ,607950.3962,4822323.403,123.8832,1
251, ,607950.3962,4822323.403,123.8832,1
252, ,607943.8356,4822330.547,124.1873,1
253, ,607943.8356,4822330.547,124.1873,1
254, ,607943.7508,4822330.639,124.1927,1
255, ,607943.7508,4822330.639,124.1927,1
256, ,607943.734,4822330.667,124.194,1
257, ,607943.734,4822330.667,124.194,1
258, ,607938.6198,4822339.223,124.621,1
259, ,607938.6198,4822339.223,124.621,1
260, ,607934.733,4822345.725,124.9102,1
261, ,607934.733,4822345.725,124.9102,1
262, ,607929.6028,4822354.308,125.0333,1
263, ,607929.6028,4822354.308,125.0333,1
264, ,607924.5859,4822362.703,125.0978,1
265, ,607924.5859,4822362.703,125.0978,1
266, ,607919.4547,4822371.286,125.2177,1
267, ,607919.4547,4822371.286,125.2177,1
268, ,607916.0083,4822377.051,125.3482,1
269, ,607916.0083,4822377.051,125.3482,1
270, ,607914.623,4822381.294,125.4595,1
