OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
90,Polyline Z,5.32257,5.32257,Residence Road,asphalt,0.408806,607621.2693,4822690.092,133.3855,607620.8748,4822690.199,133.4073,1
91,Polyline Z,4.81291,3.442579,Residence Road,asphalt,7.950569,607620.8748,4822690.199,133.4073,607613.2026,4822692.285,133.681,1
92,Polyline Z,3.392732,2.776191,Residence Road,asphalt,5.160407,607613.2026,4822692.285,133.681,607608.2889,4822693.861,133.8242,1
93,Polyline Z,13.375604,8.488114,Residence Road,asphalt,4.521509,607608.2889,4822693.861,133.8242,607604.1862,4822695.762,134.2075,1
94,Polyline Z,10.400318,3.660628,Residence Road,asphalt,9.999989,607604.1862,4822695.762,134.2075,607596.4519,4822702.101,134.5414,1
95,Polyline Z,2.809647,2.809647,Residence Road,asphalt,0.416685,607596.4519,4822702.101,134.5414,607596.1296,4822702.365,134.5531,1
96,Polyline Z,5.535757,3.235481,Residence Road,asphalt,9.999978,607596.1296,4822702.365,134.5531,607588.7175,4822709.077,134.8765,1
97,Polyline Z,2.203995,1.451313,Residence Road,asphalt,7.952736,607588.7175,4822709.077,134.8765,607582.8228,4822714.416,134.7611,1
98,Polyline Z,1.574439,0.927768,Residence Road,asphalt,4.645424,607582.8228,4822714.416,134.7611,607579.0386,4822717.11,134.718,1
99,Polyline Z,7.274523,4.6116,Inner Circle,asphalt,9.263218,607989.6027,4822416.382,124.9633,607998.7854,4822415.163,124.5363,1
100,Polyline Z,1.830349,1.005947,Inner Circle,asphalt,7.089432,607998.7854,4822415.163,124.5363,608005.8686,4822414.866,124.465,1
101,Polyline Z,2.701162,2.568476,Inner Circle,asphalt,6.019686,608005.8686,4822414.866,124.465,608011.8737,4822415.285,124.3104,1
102,Polyline Z,2.77535,2.642481,Inner Circle,asphalt,8.575466,608011.8737,4822415.285,124.3104,608020.3628,4822416.499,124.0838,1
103,Polyline Z,2.691629,1.493999,Inner Circle,asphalt,7.017034,608020.3628,4822416.499,124.0838,608027.1629,4822418.23,123.979,1
104,Polyline Z,1.679367,1.27502,Inner Circle,asphalt,6.339744,608027.1629,4822418.23,123.979,608033.1577,4822420.293,123.8982,1
105,Polyline Z,2.058056,1.083571,unknown,sidewalk,5.476592,608033.2662,4822391.944,124.6523,608031.3772,4822386.804,124.7074,1
106,Polyline Z,3.700367,2.185389,unknown,sidewalk,4.562245,608031.3772,4822386.804,124.7074,608029.7977,4822382.524,124.6078,1
107,Polyline Z,8.378286,7.170973,unknown,sidewalk,10.000008,608029.7977,4822382.524,124.6078,608028.4568,4822372.614,123.8907,1
108,Polyline Z,5.286783,4.42879,unknown,sidewalk,7.02049,608028.4568,4822372.614,123.8907,608027.5155,4822365.657,123.5798,1
109,Polyline Z,6.945633,6.309087,unknown,sidewalk,8.682215,608027.5155,4822365.657,123.5798,608026.523,4822357.032,123.0321,1
110,Polyline Z,3.133605,0.924366,unknown,sidewalk,9.025857,608026.523,4822357.032,123.0321,608025.1473,4822348.111,122.9486,1
111,Polyline Z,2.551499,1.491282,unknown,sidewalk,7.990304,608025.1473,4822348.111,122.9486,608022.83,4822340.464,122.8295,1
112,Polyline Z,2.33252,1.496118,unknown,sidewalk,7.852727,608022.83,4822340.464,122.8295,608019.6567,4822333.281,122.7214,1
113,Polyline Z,2.143788,1.805982,unknown,sidewalk,6.321562,608019.6567,4822333.281,122.7214,608016.529,4822327.788,122.8355,1
114,Polyline Z,1.327438,0.556643,unknown,sidewalk,6.588351,608016.529,4822327.788,122.8355,608012.2788,4822322.754,122.846,1
