OBJECTID *,start_x,start_y,start_z,end_x,end_y,end_z
278,607934.2352,4822417.969,125.7664,607938.0181,4822423.068,125.8073
279,607928.2768,4822409.938,125.7614,607934.2352,4822417.969,125.7664
280,607928.2768,4822409.938,125.7614,607934.2352,4822417.969,125.7664
281,607922.3185,4822401.907,125.7872,607928.2768,4822409.938,125.7614
282,607922.3185,4822401.907,125.7872,607928.2768,4822409.938,125.7614
283,607938.0181,4822423.068,125.8073,607943.9765,4822431.099,125.7897
284,607938.0181,4822423.068,125.8073,607943.9765,4822431.099,125.7897
285,607943.9765,4822431.099,125.7897,607945.2125,4822432.765,125.7563
286,607943.9765,4822431.099,125.7897,607945.2125,4822432.765,125.7563
287,607945.2125,4822432.765,125.7563,607949.1644,4822438.261,125.5074
288,607945.2125,4822432.765,125.7563,607949.1644,4822438.261,125.5074
289,607914.2579,4822388.932,125.6584,607910.8601,4822389.61,125.7072
290,607914.2579,4822388.932,125.6584,607910.8601,4822389.61,125.7072
291,607910.8601,4822389.61,125.7072,607901.0537,4822391.568,125.8148
292,607910.8601,4822389.61,125.7072,607901.0537,4822391.568,125.8148
293,607881.4409,4822395.485,125.7943,607876.2065,4822396.53,125.7661
294,607881.4409,4822395.485,125.7943,607876.2065,4822396.53,125.7661
295,607891.2473,4822393.526,125.8442,607881.4409,4822395.485,125.7943
296,607891.2473,4822393.526,125.8442,607881.4409,4822395.485,125.7943
297,607901.0537,4822391.568,125.8148,607891.2473,4822393.526,125.8442
298,607901.0537,4822391.568,125.8148,607891.2473,4822393.526,125.8442
299,607876.2065,4822396.53,125.7661,607876.4819,4822401.011,125.8565
300,607876.2065,4822396.53,125.7661,607876.4819,4822401.011,125.8565
301,607876.4819,4822401.011,125.8565,607875.312,4822404.425,125.9072
302,607876.4819,4822401.011,125.8565,607875.312,4822404.425,125.9072
303,607875.312,4822404.425,125.9072,607871.9333,4822411.036,125.9454
304,607875.312,4822404.425,125.9072,607871.9333,4822411.036,125.9454
305,607871.9333,4822411.036,125.9454,607868.1115,4822416.051,125.9117
306,607871.9333,4822411.036,125.9454,607868.1115,4822416.051,125.9117
307,607868.1115,4822416.051,125.9117,607864.5469,4822417.638,125.9156
308,607868.1115,4822416.051,125.9117,607864.5469,4822417.638,125.9156
309,607864.5469,4822417.638,125.9156,607861.8635,4822418.184,125.9386
